experiment,algorithm,objective,iteration,queries,samps_per_iter,objective_value,minimum_objective_value,iteration_of_minimum,random_seed,status,parameter_configuration,elapsed_seconds,error_message
samples_vs_minimum,iterative_hard_thresholding,ky_fan_regression,12500,100000,8,12.167433738708496,12.167433738708496,12500,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",249.8213617913425,
samples_vs_minimum,iterative_hard_thresholding,ky_fan_regression,1563,100032,64,2.3517937660217285,2.3517937660217285,1563,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",28.19260466657579,
samples_vs_minimum,iterative_hard_thresholding,ky_fan_regression,782,100096,128,0.0007706386968493462,0.0007706386968493462,782,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",17.37219741754234,
samples_vs_minimum,iterative_hard_thresholding,ky_fan_regression,391,100096,256,0.0,0.0,370,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",10.601112749427557,
samples_vs_minimum,iterative_hard_thresholding,ky_fan_regression,98,100352,1024,0.2747591435909271,0.2747591435909271,98,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",3.4663663748651743,
samples_vs_minimum,iterative_hard_thresholding,singular_value_sum,12046,96368,8,38.38176727294922,38.38176727294922,12046,2027,failed,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":8,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",274.707069917582,"NumericalRecoveryError: A recovery method wrote unexpected output, which may indicate a numerical failure: [[nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan   nan nan nan nan nan nan nan nan nan nan nan "
samples_vs_minimum,iterative_hard_thresholding,singular_value_sum,1563,100032,64,1.4126272201538086,1.4126272201538086,1563,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":64,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",27.353698667138815,
samples_vs_minimum,iterative_hard_thresholding,singular_value_sum,782,100096,128,3.1381507170635814e-08,3.1381507170635814e-08,782,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":128,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",15.158335208892822,
samples_vs_minimum,iterative_hard_thresholding,singular_value_sum,391,100096,256,5.584079180434695e-19,5.584079180434695e-19,391,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":256,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",8.069642916321754,
samples_vs_minimum,iterative_hard_thresholding,singular_value_sum,98,100352,1024,0.04512455314397812,0.04512455314397812,98,2027,success,"{""base_optimizer_parameters"":{""linesearch"":true,""sampling_dist"":""gaussian"",""sampling_scheme"":""full-rank"",""samps_per_iter"":1024,""step_size"":0.03,""target_rank"":3},""data_seed"":2025,""initialization_seed"":2026,""matrix_shape"":[30,30],""max_queries"":100000,""objective_noise"":0.0,""optimizer_seed"":2027,""recovery_parameters"":{""iters"":20}}",3.3389526661485434,
